instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,period
1821,,Summer,2011,Mar,14,No,Mon,1,Cloudy,0.54,0.5152,0.64,0.2239,36,65,101,Sore
1822,,Summer,2011,Mar,15,No,Mon,1,Cloudy,0.56,0.5303,0.6,0.2239,41,66,107,Sore
1823,,Summer,2011,Mar,16,No,Mon,1,Cloudy,0.54,0.5152,0.64,0.2836,29,112,141,Sore
1824,,Summer,2011,Mar,17,No,Mon,1,Cloudy,0.54,0.5152,0.64,0.2537,41,231,272,Sore
1825,,Summer,2011,Mar,18,No,Mon,1,Cloudy,0.52,0.5,0.72,0.2239,44,232,276,Malam
1826,,Summer,2011,Mar,19,No,Mon,1,Clear,0.58,0.5455,0.6,0.4179,22,199,221,Malam
1827,,Summer,2011,Mar,20,No,Mon,1,Clear,0.56,0.5303,0.64,0.194,16,106,122,Malam
1828,,Summer,2011,Mar,21,No,Mon,1,Clear,0.46,0.4545,0.94,0.194,12,79,91,Malam
1829,,Summer,2011,Mar,22,No,Mon,1,Clear,0.46,0.4545,0.88,0.2239,18,60,78,Malam
1830,,Summer,2011,Mar,23,No,Mon,1,Clear,0.46,0.4545,0.88,0.0896,8,22,30,Malam
1831,,Summer,2011,Mar,0,No,Tue,1,Clear,0.46,0.4545,0.88,0.194,4,7,11,Malam
1832,,Summer,2011,Mar,1,No,Tue,1,Clear,0.42,0.4242,1.0,0.1343,6,13,19,Malam
1833,,Summer,2011,Mar,2,No,Tue,1,Clear,0.44,0.4394,0.94,0.0896,0,1,1,Malam
1834,,Summer,2011,Mar,3,No,Tue,1,Clear,0.44,0.4394,0.82,0.2239,3,2,5,Malam
1835,,Summer,2011,Mar,4,No,Tue,1,Cloudy,0.42,0.4242,0.82,0.1642,0,1,1,Malam
1836,,Summer,2011,Mar,5,No,Tue,1,Cloudy,0.4,0.4091,0.87,0.1343,1,11,12,Malam
1837,,Summer,2011,Mar,6,No,Tue,1,Clear,0.4,0.4091,0.87,0.2537,2,58,60,Pagi
1838,,Summer,2011,Mar,7,No,Tue,1,Cloudy,0.4,0.4091,0.76,0.1045,4,132,136,Pagi
1839,,Summer,2011,Mar,8,No,Tue,1,Cloudy,0.4,0.4091,0.58,0.2985,24,312,336,Pagi
1840,,Summer,2011,Mar,9,No,Tue,1,Cloudy,0.4,0.4091,0.58,0.4627,19,159,178,Pagi
1841,,Summer,2011,Mar,10,No,Tue,1,Cloudy,0.44,0.4394,0.54,0.2985,29,95,124,Pagi
1842,,Summer,2011,Mar,11,No,Tue,1,Clear,0.44,0.4394,0.51,0.3284,22,64,86,Sore
1843,,Summer,2011,Mar,12,No,Tue,1,Clear,0.46,0.4545,0.47,0.2537,35,86,121,Sore
1844,,Summer,2011,Mar,13,No,Tue,1,Clear,0.5,0.4848,0.45,0.2239,21,85,106,Sore
1845,,Summer,2011,Mar,14,No,Tue,1,Clear,0.5,0.4848,0.42,0.3284,30,71,101,Sore
1846,,Summer,2011,Mar,15,No,Tue,1,Clear,0.5,0.4848,0.42,0.2239,55,79,134,Sore
1847,,Summer,2011,Mar,16,No,Tue,1,Clear,0.5,0.4848,0.42,0.1045,40,125,165,Sore
1848,,Summer,2011,Mar,17,No,Tue,1,Clear,0.5,0.4848,0.42,0.1045,42,265,307,Sore
1849,,Summer,2011,Mar,18,No,Tue,1,Clear,0.48,0.4697,0.44,0.0896,41,271,312,Malam
1850,,Summer,2011,Mar,19,No,Tue,1,Cloudy,0.44,0.4394,0.54,0.2537,22,142,164,Malam
1851,,Summer,2011,Mar,20,No,Tue,1,Cloudy,0.44,0.4394,0.54,0.3582,19,116,135,Malam
1852,,Summer,2011,Mar,21,No,Tue,1,Cloudy,0.42,0.4242,0.54,0.2836,24,63,87,Malam
1853,,Summer,2011,Mar,22,No,Tue,1,Cloudy,0.4,0.4091,0.58,0.2537,13,57,70,Malam
1854,,Summer,2011,Mar,23,No,Tue,1,Cloudy,0.4,0.4091,0.58,0.2537,4,28,32,Malam
1855,,Summer,2011,Mar,0,No,Wed,1,Light Rain/Snow,0.36,0.3485,0.71,0.2239,3,8,11,Malam
1856,,Summer,2011,Mar,1,No,Wed,1,Light Rain/Snow,0.34,0.3182,0.76,0.2239,0,7,7,Malam
1857,,Summer,2011,Mar,2,No,Wed,1,Light Rain/Snow,0.34,0.3182,0.76,0.2239,1,1,2,Malam
1858,,Summer,2011,Mar,3,No,Wed,1,Cloudy,0.34,0.3182,0.76,0.2537,0,3,3,Malam
1859,,Summer,2011,Mar,5,No,Wed,1,Light Rain/Snow,0.32,0.3182,0.87,0.194,0,10,10,Malam
1860,,Summer,2011,Mar,6,No,Wed,1,Cloudy,0.34,0.3182,0.87,0.2537,1,43,44,Pagi
1861,,Summer,2011,Mar,7,No,Wed,1,Cloudy,0.32,0.303,0.93,0.2239,7,111,118,Pagi
1862,,Summer,2011,Mar,8,No,Wed,1,Cloudy,0.32,0.3182,0.87,0.194,14,247,261,Pagi
1863,,Summer,2011,Mar,9,No,Wed,1,Cloudy,0.32,0.303,0.81,0.2537,8,174,182,Pagi
1864,,Summer,2011,Mar,10,No,Wed,1,Cloudy,0.34,0.3182,0.81,0.2836,15,60,75,Pagi
1865,,Summer,2011,Mar,11,No,Wed,1,Cloudy,0.34,0.3333,0.87,0.194,18,53,71,Sore
1866,,Summer,2011,Mar,12,No,Wed,1,Cloudy,0.34,0.3182,0.87,0.2239,14,73,87,Sore
1867,,Summer,2011,Mar,13,No,Wed,1,Light Rain/Snow,0.34,0.3333,0.87,0.1343,14,94,108,Sore
1868,,Summer,2011,Mar,14,No,Wed,1,Cloudy,0.36,0.3636,0.87,0.1045,13,71,84,Sore
1869,,Summer,2011,Mar,15,No,Wed,1,Cloudy,0.38,0.3939,0.82,0.2239,11,74,85,Sore
1870,,Summer,2011,Mar,16,No,Wed,1,Cloudy,0.4,0.4091,0.76,0.2239,13,123,136,Sore
1871,,Summer,2011,Mar,17,No,Wed,1,Cloudy,0.4,0.4091,0.76,0.2239,28,245,273,Sore
1872,,Summer,2011,Mar,18,No,Wed,1,Light Rain/Snow,0.38,0.3939,0.82,0.2537,20,218,238,Malam
1873,,Summer,2011,Mar,19,No,Wed,1,Light Rain/Snow,0.38,0.3939,0.82,0.2537,12,147,159,Malam
1874,,Summer,2011,Mar,20,No,Wed,1,Light Rain/Snow,0.36,0.303,0.87,0.6418,3,72,75,Malam
1875,,Summer,2011,Mar,21,No,Wed,1,Light Rain/Snow,0.32,0.2879,1.0,0.4179,0,22,22,Malam
1876,,Summer,2011,Mar,22,No,Wed,1,Cloudy,0.32,0.3182,0.93,0.1642,6,38,44,Malam
1877,,Summer,2011,Mar,23,No,Wed,1,Light Rain/Snow,0.32,0.3333,0.9,0.0,2,24,26,Malam
1878,,Summer,2011,Mar,0,No,Thu,1,Cloudy,0.32,0.303,0.93,0.2239,0,11,11,Malam
1879,,Summer,2011,Mar,1,No,Thu,1,Cloudy,0.3,0.2879,1.0,0.2239,0,3,3,Malam
1880,,Summer,2011,Mar,2,No,Thu,1,Cloudy,0.3,0.2879,1.0,0.2537,0,6,6,Malam
1881,,Summer,2011,Mar,3,No,Thu,1,Cloudy,0.28,0.2727,1.0,0.194,1,0,1,Malam
1882,,Summer,2011,Mar,4,No,Thu,1,Cloudy,0.28,0.2727,1.0,0.194,0,1,1,Malam
1883,,Summer,2011,Mar,5,No,Thu,1,Cloudy,0.28,0.2727,0.93,0.2239,1,8,9,Malam
1884,,Summer,2011,Mar,6,No,Thu,1,Cloudy,0.28,0.2727,0.93,0.2239,0,41,41,Pagi
1885,,Summer,2011,Mar,7,No,Thu,1,Light Rain/Snow,0.26,0.2576,1.0,0.2239,2,106,108,Pagi
1886,,Summer,2011,Mar,8,No,Thu,1,Light Rain/Snow,0.26,0.2273,1.0,0.2985,4,120,124,Pagi
1887,,Summer,2011,Mar,9,No,Thu,1,Cloudy,0.26,0.2576,0.93,0.2239,3,94,97,Pagi
1888,,Summer,2011,Mar,10,No,Thu,1,Cloudy,0.26,0.2273,0.93,0.3284,10,55,65,Pagi
1889,,Summer,2011,Mar,11,No,Thu,1,Cloudy,0.3,0.2727,0.81,0.2985,10,61,71,Sore
1890,,Summer,2011,Mar,12,No,Thu,1,Cloudy,0.3,0.2727,0.7,0.3284,12,82,94,Sore
1891,,Summer,2011,Mar,13,No,Thu,1,Cloudy,0.32,0.303,0.7,0.2239,11,90,101,Sore
1892,,Summer,2011,Mar,14,No,Thu,1,Cloudy,0.3,0.303,0.7,0.1343,17,66,83,Sore
1893,,Summer,2011,Mar,15,No,Thu,1,Cloudy,0.3,0.2879,0.7,0.2537,13,77,90,Sore
1894,,Summer,2011,Mar,16,No,Thu,1,Cloudy,0.3,0.2879,0.65,0.2239,6,78,84,Sore
1895,,Summer,2011,Mar,17,No,Thu,1,Cloudy,0.3,0.2879,0.7,0.2239,12,221,233,Sore
1896,,Summer,2011,Mar,18,No,Thu,1,Cloudy,0.3,0.2727,0.61,0.2985,17,197,214,Malam
1897,,Summer,2011,Mar,19,No,Thu,1,Clear,0.3,0.2727,0.56,0.3881,16,122,138,Malam
1898,,Summer,2011,Mar,20,No,Thu,1,Clear,0.28,0.2576,0.61,0.2836,8,110,118,Malam
1899,,Summer,2011,Mar,21,No,Thu,1,Clear,0.26,0.2576,0.65,0.2239,11,67,78,Malam
1900,,Summer,2011,Mar,22,No,Thu,1,Clear,0.26,0.2576,0.65,0.1642,3,59,62,Malam
1901,,Summer,2011,Mar,23,No,Thu,1,Clear,0.24,0.2273,0.65,0.194,9,24,33,Malam
1902,,Summer,2011,Mar,0,No,Fri,1,Clear,0.24,0.2273,0.6,0.194,1,17,18,Malam
1903,,Summer,2011,Mar,1,No,Fri,1,Clear,0.2,0.2121,0.69,0.1642,0,5,5,Malam
1904,,Summer,2011,Mar,2,No,Fri,1,Clear,0.2,0.197,0.69,0.2239,0,5,5,Malam
1905,,Summer,2011,Mar,3,No,Fri,1,Clear,0.2,0.2273,0.69,0.1045,0,2,2,Malam
1906,,Summer,2011,Mar,4,No,Fri,1,Clear,0.18,0.2121,0.74,0.1045,3,2,5,Malam
1907,,Summer,2011,Mar,5,No,Fri,1,Clear,0.18,0.197,0.74,0.1642,0,9,9,Malam
1908,,Summer,2011,Mar,6,No,Fri,1,Clear,0.18,0.1818,0.74,0.2239,0,32,32,Pagi
1909,,Summer,2011,Mar,7,No,Fri,1,Clear,0.2,0.1818,0.59,0.3582,4,100,104,Pagi
1910,,Summer,2011,Mar,8,No,Fri,1,Clear,0.22,0.2121,0.51,0.2836,9,228,237,Pagi
1911,,Summer,2011,Mar,9,No,Fri,1,Clear,0.24,0.2121,0.48,0.2985,16,150,166,Pagi
1912,,Summer,2011,Mar,10,No,Fri,1,Clear,0.26,0.2576,0.48,0.0,15,53,68,Pagi
1913,,Summer,2011,Mar,11,No,Fri,1,Clear,0.3,0.2879,0.45,0.2836,17,58,75,Sore
1914,,Summer,2011,Mar,12,No,Fri,1,Clear,0.32,0.303,0.42,0.2537,37,108,145,Sore
1915,,Summer,2011,Mar,13,No,Fri,1,Clear,0.32,0.3182,0.39,0.194,34,104,138,Sore
1916,,Summer,2011,Mar,14,No,Fri,1,Clear,0.36,0.3333,0.32,0.3284,30,103,133,Sore
1917,,Summer,2011,Mar,15,No,Fri,1,Cloudy,0.34,0.3182,0.36,0.2537,43,79,122,Sore
1918,,Summer,2011,Mar,16,No,Fri,1,Cloudy,0.34,0.303,0.34,0.2985,23,127,150,Sore
1919,,Summer,2011,Mar,17,No,Fri,1,Cloudy,0.32,0.2879,0.36,0.3582,23,202,225,Sore
1920,,Summer,2011,Mar,18,No,Fri,1,Clear,0.3,0.2879,0.39,0.2537,8,190,198,Malam
1921,,Summer,2011,Mar,19,No,Fri,1,Cloudy,0.3,0.2879,0.36,0.2836,9,126,135,Malam
1922,,Summer,2011,Mar,20,No,Fri,1,Cloudy,0.3,0.303,0.39,0.1343,6,75,81,Malam
1923,,Summer,2011,Mar,21,No,Fri,1,Cloudy,0.3,0.303,0.39,0.1642,11,64,75,Malam
1924,,Summer,2011,Mar,22,No,Fri,1,Cloudy,0.28,0.2576,0.38,0.3284,3,40,43,Malam
1925,,Summer,2011,Mar,23,No,Fri,1,Cloudy,0.26,0.2424,0.38,0.2836,8,31,39,Malam
1926,,Summer,2011,Mar,0,No,Sat,0,Cloudy,0.26,0.2424,0.38,0.2836,3,25,28,Malam
1927,,Summer,2011,Mar,1,No,Sat,0,Clear,0.26,0.2273,0.38,0.2985,3,24,27,Malam
1928,,Summer,2011,Mar,2,No,Sat,0,Clear,0.22,0.2121,0.44,0.2239,4,21,25,Malam
1929,,Summer,2011,Mar,3,No,Sat,0,Clear,0.2,0.197,0.47,0.194,2,7,9,Malam
1930,,Summer,2011,Mar,4,No,Sat,0,Clear,0.22,0.2121,0.44,0.2239,2,4,6,Malam
1931,,Summer,2011,Mar,5,No,Sat,0,Clear,0.2,0.197,0.51,0.194,0,8,8,Malam
1932,,Summer,2011,Mar,6,No,Sat,0,Clear,0.18,0.1818,0.55,0.194,2,8,10,Pagi
1933,,Summer,2011,Mar,7,No,Sat,0,Clear,0.2,0.197,0.51,0.194,18,23,41,Pagi
1934,,Summer,2011,Mar,8,No,Sat,0,Clear,0.22,0.2273,0.44,0.1343,24,42,66,Pagi
1935,,Summer,2011,Mar,9,No,Sat,0,Clear,0.24,0.2424,0.41,0.1343,32,68,100,Pagi
1936,,Summer,2011,Mar,10,No,Sat,0,Clear,0.26,0.2576,0.41,0.1642,32,93,125,Pagi
1937,,Summer,2011,Mar,11,No,Sat,0,Clear,0.28,0.2727,0.38,0.1642,75,93,168,Sore
1938,,Summer,2011,Mar,12,No,Sat,0,Clear,0.3,0.2879,0.36,0.194,98,129,227,Sore
1939,,Summer,2011,Mar,13,No,Sat,0,Clear,0.32,0.303,0.33,0.2239,94,145,239,Sore
1940,,Summer,2011,Mar,14,No,Sat,0,Clear,0.34,0.3182,0.29,0.2239,93,123,216,Sore
1941,,Summer,2011,Mar,15,No,Sat,0,Clear,0.34,0.3333,0.29,0.194,110,109,219,Sore
1942,,Summer,2011,Mar,16,No,Sat,0,Clear,0.34,0.3333,0.23,0.194,118,130,248,Sore
1943,,Summer,2011,Mar,17,No,Sat,0,Clear,0.32,0.303,0.24,0.2239,102,101,203,Sore
1944,,Summer,2011,Mar,18,No,Sat,0,Cloudy,0.32,0.3182,0.21,0.1642,64,89,153,Malam
1945,,Summer,2011,Mar,19,No,Sat,0,Cloudy,0.28,0.2727,0.45,0.2537,45,93,138,Malam
1946,,Summer,2011,Mar,20,No,Sat,0,Cloudy,0.28,0.2727,0.45,0.2537,18,67,85,Malam
1947,,Summer,2011,Mar,21,No,Sat,0,Cloudy,0.26,0.2576,0.44,0.194,15,36,51,Malam
1948,,Summer,2011,Mar,22,No,Sat,0,Cloudy,0.28,0.2727,0.41,0.2239,17,46,63,Malam
1949,,Summer,2011,Mar,23,No,Sat,0,Cloudy,0.26,0.2424,0.44,0.2836,10,31,41,Malam
1950,,Summer,2011,Mar,0,No,Sun,0,Cloudy,0.26,0.2576,0.41,0.1642,5,26,31,Malam
1951,,Summer,2011,Mar,1,No,Sun,0,Cloudy,0.24,0.2273,0.52,0.194,3,17,20,Malam
1952,,Summer,2011,Mar,2,No,Sun,0,Light Rain/Snow,0.22,0.2273,0.55,0.194,6,15,21,Malam
1953,,Summer,2011,Mar,3,No,Sun,0,Light Rain/Snow,0.2,0.197,0.69,0.2239,0,14,14,Malam
1954,,Summer,2011,Mar,4,No,Sun,0,Light Rain/Snow,0.18,0.197,0.74,0.1642,1,5,6,Malam
1955,,Summer,2011,Mar,6,No,Sun,0,Light Rain/Snow,0.16,0.1818,0.86,0.1343,0,2,2,Pagi
1956,,Summer,2011,Mar,7,No,Sun,0,Light Rain/Snow,0.16,0.1667,0.86,0.1642,0,7,7,Pagi
1957,,Summer,2011,Mar,8,No,Sun,0,Clear,0.2,0.197,0.69,0.2239,6,8,14,Pagi
1958,,Summer,2011,Mar,9,No,Sun,0,Clear,0.22,0.2273,0.55,0.1343,17,37,54,Pagi
1959,,Summer,2011,Mar,10,No,Sun,0,Cloudy,0.22,0.2121,0.55,0.2239,27,59,86,Pagi
1960,,Summer,2011,Mar,11,No,Sun,0,Cloudy,0.24,0.2424,0.48,0.1642,23,85,108,Sore
1961,,Summer,2011,Mar,12,No,Sun,0,Cloudy,0.26,0.2576,0.44,0.2239,43,120,163,Sore
1962,,Summer,2011,Mar,13,No,Sun,0,Clear,0.3,0.2879,0.39,0.2239,47,100,147,Sore
1963,,Summer,2011,Mar,14,No,Sun,0,Clear,0.32,0.3182,0.36,0.1642,61,103,164,Sore
1964,,Summer,2011,Mar,15,No,Sun,0,Clear,0.32,0.303,0.36,0.2836,61,111,172,Sore
1965,,Summer,2011,Mar,16,No,Sun,0,Clear,0.34,0.3333,0.34,0.0,45,98,143,Sore
1966,,Summer,2011,Mar,17,No,Sun,0,Clear,0.32,0.303,0.31,0.2537,50,109,159,Sore
1967,,Summer,2011,Mar,18,No,Sun,0,Clear,0.3,0.2879,0.33,0.194,32,105,137,Malam
1968,,Summer,2011,Mar,19,No,Sun,0,Clear,0.3,0.2879,0.31,0.2239,23,80,103,Malam
1969,,Summer,2011,Mar,20,No,Sun,0,Clear,0.28,0.2727,0.36,0.1642,7,50,57,Malam
1970,,Summer,2011,Mar,21,No,Sun,0,Clear,0.26,0.2576,0.41,0.1642,7,29,36,Malam
1971,,Summer,2011,Mar,22,No,Sun,0,Clear,0.26,0.2576,0.41,0.1642,5,25,30,Malam
1972,,Summer,2011,Mar,23,No,Sun,0,Clear,0.26,0.2576,0.44,0.194,3,16,19,Malam
1973,,Summer,2011,Mar,0,No,Mon,1,Clear,0.22,0.2273,0.55,0.194,1,11,12,Malam
1974,,Summer,2011,Mar,1,No,Mon,1,Clear,0.22,0.2273,0.44,0.194,2,4,6,Malam
1975,,Summer,2011,Mar,2,No,Mon,1,Clear,0.22,0.2273,0.44,0.1642,0,5,5,Malam
1976,,Summer,2011,Mar,3,No,Mon,1,Clear,0.22,0.2273,0.44,0.1642,0,2,2,Malam
1977,,Summer,2011,Mar,5,No,Mon,1,Clear,0.18,0.1818,0.43,0.194,0,8,8,Malam
1978,,Summer,2011,Mar,6,No,Mon,1,Clear,0.18,0.1667,0.34,0.2836,0,40,40,Pagi
1979,,Summer,2011,Mar,7,No,Mon,1,Clear,0.2,0.1818,0.32,0.3284,6,104,110,Pagi
1980,,Summer,2011,Mar,8,No,Mon,1,Clear,0.2,0.197,0.34,0.2239,15,239,254,Pagi
1981,,Summer,2011,Mar,9,No,Mon,1,Cloudy,0.22,0.2121,0.32,0.2239,12,109,121,Pagi
1982,,Summer,2011,Mar,10,No,Mon,1,Clear,0.24,0.2273,0.3,0.194,22,47,69,Pagi
1983,,Summer,2011,Mar,11,No,Mon,1,Cloudy,0.26,0.2424,0.3,0.2836,18,39,57,Sore
1984,,Summer,2011,Mar,12,No,Mon,1,Cloudy,0.26,0.2727,0.25,0.0,8,71,79,Sore
1985,,Summer,2011,Mar,13,No,Mon,1,Cloudy,0.3,0.2879,0.24,0.2239,14,69,83,Sore
1986,,Summer,2011,Mar,14,No,Mon,1,Clear,0.32,0.303,0.22,0.2239,15,65,80,Sore
1987,,Summer,2011,Mar,15,No,Mon,1,Clear,0.32,0.303,0.24,0.2836,19,53,72,Sore
1988,,Summer,2011,Mar,16,No,Mon,1,Clear,0.34,0.3182,0.23,0.2239,15,117,132,Sore
1989,,Summer,2011,Mar,17,No,Mon,1,Clear,0.34,0.303,0.23,0.2985,25,227,252,Sore
1990,,Summer,2011,Mar,18,No,Mon,1,Clear,0.32,0.303,0.21,0.2836,21,220,241,Malam
1991,,Summer,2011,Mar,19,No,Mon,1,Clear,0.3,0.303,0.22,0.1343,17,156,173,Malam
1992,,Summer,2011,Mar,20,No,Mon,1,Clear,0.32,0.3333,0.22,0.1045,5,107,112,Malam
1993,,Summer,2011,Mar,21,No,Mon,1,Clear,0.32,0.3333,0.21,0.1343,6,55,61,Malam
1994,,Summer,2011,Mar,22,No,Mon,1,Clear,0.3,0.2879,0.22,0.2239,0,40,40,Malam
1995,,Summer,2011,Mar,23,No,Mon,1,Clear,0.28,0.2576,0.24,0.2985,1,18,19,Malam
1996,,Summer,2011,Mar,0,No,Tue,1,Clear,0.26,0.2273,0.28,0.3284,1,15,16,Malam
1997,,Summer,2011,Mar,1,No,Tue,1,Clear,0.24,0.2121,0.32,0.2985,0,4,4,Malam
1998,,Summer,2011,Mar,2,No,Tue,1,Clear,0.24,0.2121,0.32,0.2985,0,3,3,Malam
1999,,Summer,2011,Mar,3,No,Tue,1,Clear,0.24,0.2121,0.32,0.2985,2,1,3,Malam
2000,,Summer,2011,Mar,4,No,Tue,1,Clear,0.2,0.2121,0.44,0.1642,1,1,2,Malam
2001,,Summer,2011,Mar,5,No,Tue,1,Clear,0.22,0.2121,0.37,0.2537,0,8,8,Malam
2002,,Summer,2011,Mar,6,No,Tue,1,Clear,0.22,0.2121,0.41,0.2985,4,46,50,Pagi
2003,,Summer,2011,Mar,7,No,Tue,1,Clear,0.22,0.197,0.41,0.3582,5,128,133,Pagi
2004,,Summer,2011,Mar,8,No,Tue,1,Clear,0.24,0.2121,0.35,0.3582,19,268,287,Pagi
2005,,Summer,2011,Mar,9,No,Tue,1,Clear,0.28,0.2576,0.28,0.3881,16,156,172,Pagi
2006,,Summer,2011,Mar,10,No,Tue,1,Clear,0.3,0.2727,0.24,0.2985,13,46,59,Pagi
2007,,Summer,2011,Mar,11,No,Tue,1,Cloudy,0.34,0.303,0.25,0.3881,18,63,81,Sore
2008,,Summer,2011,Mar,12,No,Tue,1,Clear,0.34,0.3333,0.25,0.1642,29,77,106,Sore
2009,,Summer,2011,Mar,13,No,Tue,1,Clear,0.34,0.303,0.25,0.2985,24,80,104,Sore
2010,,Summer,2011,Mar,14,No,Tue,1,Clear,0.36,0.3333,0.25,0.2537,20,66,86,Sore
2011,,Summer,2011,Mar,15,No,Tue,1,Clear,0.38,0.3939,0.25,0.2239,22,65,87,Sore
2012,,Summer,2011,Mar,16,No,Tue,1,Clear,0.38,0.3939,0.22,0.1642,12,124,136,Sore
2013,,Summer,2011,Mar,17,No,Tue,1,Clear,0.4,0.4091,0.2,0.1343,34,265,299,Sore
2014,,Summer,2011,Mar,18,No,Tue,1,Clear,0.36,0.3636,0.21,0.0896,42,252,294,Malam
2015,,Summer,2011,Mar,19,No,Tue,1,Clear,0.34,0.3333,0.23,0.194,20,170,190,Malam
2016,,Summer,2011,Mar,20,No,Tue,1,Clear,0.36,0.3636,0.21,0.0896,13,119,132,Malam
2017,,Summer,2011,Mar,21,No,Tue,1,Clear,0.34,0.3636,0.42,0.0,8,75,83,Malam
2018,,Summer,2011,Mar,22,No,Tue,1,Clear,0.34,0.3636,0.49,0.0,6,49,55,Malam
2019,,Summer,2011,Mar,23,No,Tue,1,Cloudy,0.32,0.3333,0.57,0.1045,8,27,35,Malam
2020,,Summer,2011,Mar,0,No,Wed,1,Cloudy,0.32,0.3485,0.57,0.0,3,8,11,Malam
2021,,Summer,2011,Mar,1,No,Wed,1,Clear,0.32,0.3485,0.39,0.0,1,9,10,Malam
2022,,Summer,2011,Mar,2,No,Wed,1,Cloudy,0.32,0.3485,0.57,0.0,0,4,4,Malam
2023,,Summer,2011,Mar,3,No,Wed,1,Cloudy,0.32,0.3485,0.49,0.0,0,4,4,Malam
2024,,Summer,2011,Mar,4,No,Wed,1,Cloudy,0.32,0.3485,0.57,0.0,1,0,1,Malam
2025,,Summer,2011,Mar,5,No,Wed,1,Cloudy,0.3,0.2879,0.56,0.194,0,7,7,Malam
2026,,Summer,2011,Mar,6,No,Wed,1,Cloudy,0.3,0.303,0.49,0.1343,4,44,48,Pagi
2027,,Summer,2011,Mar,7,No,Wed,1,Cloudy,0.32,0.3333,0.45,0.1045,8,128,136,Pagi
2028,,Summer,2011,Mar,8,No,Wed,1,Cloudy,0.32,0.3182,0.49,0.1642,16,247,263,Pagi
2029,,Summer,2011,Mar,9,No,Wed,1,Cloudy,0.32,0.303,0.45,0.2239,7,147,154,Pagi
2030,,Summer,2011,Mar,10,No,Wed,1,Cloudy,0.34,0.3182,0.46,0.2239,13,51,64,Pagi
2031,,Summer,2011,Mar,11,No,Wed,1,Cloudy,0.34,0.3182,0.46,0.2537,26,64,90,Sore
2032,,Summer,2011,Mar,12,No,Wed,1,Cloudy,0.34,0.3333,0.46,0.1642,15,65,80,Sore
2033,,Summer,2011,Mar,13,No,Wed,1,Cloudy,0.36,0.3485,0.46,0.2239,14,84,98,Sore
2034,,Summer,2011,Mar,14,No,Wed,1,Cloudy,0.36,0.3333,0.46,0.2985,16,64,80,Sore
2035,,Summer,2011,Mar,15,No,Wed,1,Light Rain/Snow,0.28,0.2576,0.81,0.2985,14,56,70,Sore
2036,,Summer,2011,Mar,16,No,Wed,1,Light Rain/Snow,0.28,0.2727,0.87,0.2537,0,36,36,Sore
2037,,Summer,2011,Mar,17,No,Wed,1,Light Rain/Snow,0.26,0.2727,0.93,0.1045,11,105,116,Sore
2038,,Summer,2011,Mar,18,No,Wed,1,Cloudy,0.26,0.2576,0.93,0.2239,6,79,85,Malam
2039,,Summer,2011,Mar,19,No,Wed,1,Cloudy,0.26,0.2576,0.93,0.2239,5,67,72,Malam
2040,,Summer,2011,Mar,20,No,Wed,1,Light Rain/Snow,0.24,0.2121,0.93,0.2985,4,40,44,Malam
2041,,Summer,2011,Mar,21,No,Wed,1,Cloudy,0.24,0.2273,0.93,0.2537,0,27,27,Malam
2042,,Summer,2011,Mar,22,No,Wed,1,Light Rain/Snow,0.24,0.2273,0.93,0.2239,3,21,24,Malam
2043,,Summer,2011,Mar,23,No,Wed,1,Light Rain/Snow,0.24,0.2121,0.93,0.2836,1,11,12,Malam
2044,,Summer,2011,Mar,0,No,Thu,1,Light Rain/Snow,0.24,0.2273,0.93,0.2239,0,3,3,Malam
2045,,Summer,2011,Mar,1,No,Thu,1,Light Rain/Snow,0.24,0.2273,0.93,0.194,1,4,5,Malam
2046,,Summer,2011,Mar,2,No,Thu,1,Light Rain/Snow,0.24,0.2273,0.93,0.194,0,5,5,Malam
2047,,Summer,2011,Mar,3,No,Thu,1,Light Rain/Snow,0.24,0.2273,0.93,0.2239,0,1,1,Malam
2048,,Summer,2011,Mar,4,No,Thu,1,Light Rain/Snow,0.24,0.2273,0.93,0.2537,0,2,2,Malam
2049,,Summer,2011,Mar,5,No,Thu,1,Light Rain/Snow,0.24,0.2273,0.93,0.2239,0,8,8,Malam
2050,,Summer,2011,Mar,6,No,Thu,1,Light Rain/Snow,0.24,0.2121,0.93,0.2985,2,34,36,Pagi
2051,,Summer,2011,Mar,7,No,Thu,1,Light Rain/Snow,0.24,0.2273,0.93,0.2537,5,87,92,Pagi
2052,,Summer,2011,Mar,8,No,Thu,1,Cloudy,0.24,0.2273,1.0,0.2537,7,185,192,Pagi
2053,,Summer,2011,Mar,9,No,Thu,1,Light Rain/Snow,0.26,0.2424,0.93,0.2537,6,126,132,Pagi
2054,,Summer,2011,Mar,10,No,Thu,1,Light Rain/Snow,0.26,0.2424,0.93,0.2537,15,54,69,Pagi
2055,,Summer,2011,Mar,11,No,Thu,1,Light Rain/Snow,0.28,0.2727,0.93,0.194,6,52,58,Sore
2056,,Summer,2011,Mar,12,No,Thu,1,Light Rain/Snow,0.28,0.2727,0.93,0.194,17,73,90,Sore
2057,,Summer,2011,Mar,13,No,Thu,1,Light Rain/Snow,0.3,0.303,0.87,0.1343,13,55,68,Sore
